client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,632.88,8.3,120.37,131.19,194.22,256.0
8,6605,756.48,8.73,114.44,121.36,194.46,256.56
14,7085,823.47,8.6,116.16,123.83,189.59,255.23
0,8132,956.88,8.5,117.59,125.94,193.94,249.84
12,8762,980.54,8.94,111.82,117.52,185.87,246.01
4,13082,1222.06,10.7,93.37,55.83,188.65,240.13
7,11070,1238.57,8.94,111.83,104.89,195.49,252.75
3,10224,1244.55,8.22,121.62,129.02,196.93,256.15
18,11034,1310.15,8.42,118.64,126.43,196.19,251.59
1,25239,1317.73,19.15,52.17,21.66,180.4,201.59
9,10862,1357.01,8.0,124.83,129.03,199.61,255.97
15,11643,1433.78,8.12,123.06,124.52,195.29,253.41
19,33805,1483.43,22.79,43.86,21.89,178.83,200.9
13,14307,1484.6,9.64,103.7,98.74,187.56,237.18
6,13121,1712.02,7.66,130.4,131.75,196.05,252.35
11,46437,1753.82,26.48,37.74,21.02,161.21,198.13
10,42208,1759.3,23.99,41.66,20.87,172.15,196.23
2,16038,1987.48,8.07,123.84,126.41,196.76,247.12
17,67372,2161.89,31.16,32.07,20.92,137.22,190.97
16,70682,2850.93,24.79,40.31,21.13,173.55,202.31
